Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /articles (anon),11752,0,7,14.64820322498168,1.5143000000534812,271.9256000000314,26731.0,198.585188762964,0.0,7,12,16,19,30,44,67,160,270,270,270
,Aggregated,11752,0,7,14.64820322498168,1.5143000000534812,271.9256000000314,26731.0,198.585188762964,0.0,7,12,16,19,30,44,67,160,270,270,270
