timestamp,sys_cpu_percent,sys_mem_percent,proc_cpu_percent,proc_mem_mb
2026-09-07T16:10:19,66.7,71.9,0.0,78.7
2026-09-07T16:10:21,7.1,72.3,19.5,82.1
2026-09-07T16:10:23,5.3,71.9,15.6,82.8
2026-09-07T16:10:25,4.8,71.7,4.7,82.8
2026-09-07T16:10:27,5.9,72.0,7.0,82.8
2026-09-07T16:10:29,8.8,72.3,4.7,82.8
2026-09-07T16:10:31,5.7,72.3,3.1,82.8
2026-09-07T16:10:33,4.8,72.3,4.7,82.6
2026-09-07T16:10:35,5.2,72.2,7.0,82.6
2026-09-07T16:10:37,4.6,71.7,2.3,82.7
2026-09-07T16:10:39,5.1,71.8,5.5,82.7
2026-09-07T16:10:41,4.8,71.9,4.7,82.7
2026-09-07T16:10:43,4.6,72.0,3.9,82.7
2026-09-07T16:10:45,5.0,71.9,3.9,82.7
2026-09-07T16:10:47,5.4,71.9,7.0,82.7
2026-09-07T16:10:49,9.6,72.2,5.5,82.8
2026-09-07T16:10:51,6.5,72.6,3.1,82.8
2026-09-07T16:10:53,6.1,72.2,3.9,82.8
2026-09-07T16:10:55,7.4,71.1,4.7,82.8
2026-09-07T16:10:57,5.9,70.5,7.8,82.8
2026-09-07T16:10:59,5.1,70.4,3.9,82.8
2026-09-07T16:11:01,5.7,70.1,3.1,82.7
2026-09-07T16:11:03,3.2,69.5,1.6,82.8
2026-09-07T16:11:05,2.6,69.5,6.2,82.8
2026-09-07T16:11:07,3.6,69.5,0.8,82.9
2026-09-07T16:11:09,3.7,69.3,7.8,82.9
2026-09-07T16:11:11,3.8,69.1,3.9,82.9
2026-09-07T16:11:13,6.4,69.7,2.3,82.9
2026-09-07T16:11:15,5.7,69.9,5.5,82.9
2026-09-07T16:11:17,8.7,69.7,3.9,82.9
2026-09-07T16:11:19,6.8,69.6,1.6,82.9
2026-09-07T16:11:21,9.7,69.8,4.7,82.9
2026-09-07T16:11:23,5.9,69.7,7.8,82.9
2026-09-07T16:11:25,4.1,69.6,0.8,83.0
2026-09-07T16:11:27,5.1,68.8,3.9,83.0
2026-09-07T16:11:29,6.6,68.9,2.3,83.0
2026-09-07T16:11:31,3.4,68.8,3.9,83.0
2026-09-07T16:11:33,3.2,68.8,5.5,83.0
2026-09-07T16:11:35,4.4,68.7,7.0,83.0
2026-09-07T16:11:37,5.4,68.9,6.2,83.0
2026-09-07T16:11:39,3.8,68.8,3.1,83.0
2026-09-07T16:11:41,5.2,68.8,4.7,83.0
2026-09-07T16:11:43,3.2,68.8,3.1,83.0
2026-09-07T16:11:45,4.2,68.8,6.2,83.0
2026-09-07T16:11:47,4.6,68.8,2.3,83.0
2026-09-07T16:11:49,4.4,68.8,2.3,83.0
2026-09-07T16:11:51,7.5,68.9,4.7,83.1
2026-09-07T16:11:53,4.7,69.0,5.5,83.1
2026-09-07T16:11:55,3.2,68.9,3.9,83.1
2026-09-07T16:11:57,2.7,68.9,14.8,83.1
2026-09-07T16:11:59,2.6,68.8,2.3,83.1
2026-09-07T16:12:01,3.4,68.8,3.9,83.1
2026-09-07T16:12:03,2.7,68.8,0.0,83.1
2026-09-07T16:12:05,3.8,68.8,6.2,83.1
2026-09-07T16:12:07,3.6,68.8,0.8,83.1
2026-09-07T16:12:09,2.9,68.8,10.2,83.1
2026-09-07T16:12:11,3.5,68.8,5.5,83.1
2026-09-07T16:12:13,3.0,68.8,5.5,83.1
2026-09-07T16:12:15,3.0,68.8,4.7,83.2
2026-09-07T16:12:17,3.2,68.8,1.6,83.2
2026-09-07T16:12:19,2.7,68.8,3.1,83.2
2026-09-07T16:12:21,4.0,68.7,1.6,83.2
2026-09-07T16:12:24,7.3,69.0,76.0,86.6
2026-09-07T16:12:26,7.0,69.0,75.7,87.7
