Method,Name,Error,Occurrences,First Seen,Last Seen
POST,POST /auth/login,CatchResponseError('login failed: 0'),13,2026-09-07T07:50:13Z,2026-09-07T07:53:26Z
POST,POST /auth/login,CatchResponseError('login failed: 500'),13,2026-09-07T07:50:15Z,2026-09-07T07:54:36Z
