Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /articles (anon),40138,0,9,11.506156193632764,1.5706999993199133,323.21029999911843,26731.0,66.77945860964932,0.0,9,12,14,16,22,28,36,43,71,120,320
GET,GET /articles (list),13951,0,9,11.500898394379805,1.6001999993022764,257.5148000005356,25576.563615511433,23.210927975066465,0.0,9,12,15,16,22,28,35,41,61,120,260
GET,GET /articles/{id} (detail),6093,0,8,10.653706925981592,1.5306999994209036,93.52679999938118,2640.0403741999016,10.137207666266216,0.0,8,11,13,15,21,27,33,38,67,94,94
POST,[setup] POST /auth/login,67,0,250,242.24114179110956,203.27720000022964,307.5724000000264,178.8955223880597,0.11147101815851575,0.0,250,250,260,260,260,270,270,310,310,310,310
,Aggregated,60249,0,9,11.675319484141406,1.5306999994209036,323.21029999911843,23997.830154857344,100.23906526914053,0.0,9,12,14,16,22,28,36,43,220,270,320
