Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /articles (anon),6700,137,6,2648.4774835970125,1.6583000005994109,183600.24609999981,26184.805820895523,12.283823471372758,0.2511766888922489,6,8,9,11,16,320,60000,121000,182000,184000,184000
GET,GET /articles (list),2293,45,6,2401.044549280407,1.6889999997147243,153476.25980000067,25066.619276057565,4.204001077590706,0.08250329197190658,6,8,9,10,16,50,60000,121000,153000,153000,153000
GET,GET /articles/{id} (detail),981,13,6,1904.6425329255728,1.6521999996257364,153184.13549999968,2655.316004077472,1.7985717649875634,0.02383428434743968,6,7,9,10,14,22,31000,90000,153000,153000,153000
POST,[setup] POST /auth/login,52,5,900,42976.482932692285,223.36099999938597,152573.5766000007,163.67307692307693,0.09533713738975871,0.009167032441322952,900,31000,121000,121000,151000,151000,153000,153000,153000,153000,153000
,Aggregated,10026,200,6,2728.269073299421,1.6521999996257364,183600.24609999981,23491.854478356272,18.381733451340786,0.3666812976529181,6,8,9,11,16,320,60000,121000,181000,183000,184000
