Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /articles (anon),4858,76,7,3010.6177009263074,1.6885000000002037,270612.99619999976,26313.002470152325,9.443789112074011,0.14774145173273465,7,8,10,11,15,110,59000,121000,270000,271000,271000
GET,GET /articles (list),1675,22,7,2135.9469541492517,1.8614000000525266,270976.94179999985,25195.14208955224,3.256143837530665,0.042767262343686344,7,8,9,10,14,21,830,121000,270000,271000,271000
GET,GET /articles/{id} (detail),725,7,6,1726.5734674482765,1.8880000000081054,270541.64400000015,2703.150344827586,1.4093756908714818,0.013607765291172927,6,8,9,10,13,21,690,121000,271000,271000,271000
POST,[setup] POST /auth/login,37,8,760,46297.81015405404,264.8451000000023,180740.18350000004,144.7027027027027,0.07192675939619976,0.015551731761340488,760,850,153000,154000,180000,181000,181000,181000,181000,181000,181000
,Aggregated,7295,113,7,2901.7240135572306,1.6885000000002037,270976.94179999985,23577.185332419467,14.181235399872358,0.2196682111289344,7,8,10,11,15,150,59000,121000,270000,271000,271000
