Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /articles (anon),121,0,5,5.196152066109939,2.3358000000825996,9.627699999782635,26731.0,1.0177648799548469,0.0,5,6,6,7,7,8,8,9,10,10,10
,Aggregated,121,0,5,5.196152066109939,2.3358000000825996,9.627699999782635,26731.0,1.0177648799548469,0.0,5,6,6,7,7,8,8,9,10,10,10
