Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /articles/{id} (detail),116,0,7,6.576131896542063,2.4293999999827065,14.237899999898218,2685.6637931034484,0.9819802159730439,0.0,7,8,8,8,9,11,11,12,14,14,14
POST,[setup] POST /auth/login,1,0,228.9032999999563,228.9032999999563,228.9032999999563,228.9032999999563,178.0,0.008465346689422792,0.0,230,230,230,230,230,230,230,230,230,230,230
,Aggregated,117,0,7,8.47636410255415,2.4293999999827065,228.9032999999563,2664.230769230769,0.9904455626624666,0.0,7,8,8,9,9,11,12,14,230,230,230
