Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /articles (list),118,0,5,5.574514406786058,2.4866999999630934,10.04649999981666,25288.86440677966,0.9938001547024167,0.0,6,6,7,7,8,9,9,10,10,10,10
POST,[setup] POST /auth/login,1,0,265.6613000001471,265.6613000001471,265.6613000001471,265.6613000001471,178.0,0.008422035209342513,0.0,270,270,270,270,270,270,270,270,270,270,270
,Aggregated,119,0,6,7.760117647066403,2.4866999999630934,265.6613000001471,25077.8487394958,1.0022221899117592,0.0,6,6,7,7,8,9,10,10,270,270,270
